"Freq [GHz]","dB(S(1,1)) []"
2.471,-13.7473522468312
2.472,-13.3537571262536
2.473,-12.9786401329976
2.474,-12.6207293748734
2.475,-12.2788607376299
2.476,-11.9519702312808
2.477,-11.6390857269585
2.478,-11.3393187105339
2.479,-11.0518563995528
2.48,-10.7759543999276
2.481,-10.5109299765816
2.482,-10.2561559520871
2.483,-10.0110552131848
2.484,-9.77509578694163
2.485,-9.54778643990496
2.486,-9.32867275103908
2.487,-9.11733361003599
2.488,-8.913378095247
2.489,-8.71644268905662
2.49,-8.52618879244331
2.491,-8.34230050440654
2.492,-8.16448263570324
2.493,-7.99245892982389
2.494,-7.82597046730992
2.495,-7.66477423236534
2.496,-7.50864182324524
2.497,-7.35735829014616
2.498,-7.21072108629365
2.499,-7.06853911965129
2.5,-6.93063189419324
2.501,-6.79682873100474
2.502,-6.66696806063688
2.503,-6.54089677915369
2.504,-6.41846966119591
2.505,-6.2995488241612
2.506,-6.18400323827925
2.507,-6.07170827795469
2.508,-5.96254531027152
2.509,-5.85640131701222
2.51,-5.75316854694496
2.511,-5.65274419548847
2.512,-5.55503010917466
2.513,-5.45993251260487
2.514,-5.367361755839
2.515,-5.27723208037047
2.516,-5.18946140203254
2.517,-5.10397110934778
2.518,-5.02068587598416
2.519,-4.93953348611373
2.52,-4.86044467158788
2.521,-4.78335295995002
2.522,-4.70819453239953
2.523,-4.63490809090565
2.524,-4.56343473374517
2.525,-4.49371783880452
2.526,-4.42570295404882
2.527,-4.35933769461264
2.528,-4.29457164601752
2.529,-4.23135627306445
2.53,-4.1696448339887
2.531,-4.10939229950072
2.532,-4.05055527636827
2.533,-3.99309193522404
2.534,-3.93696194230974
2.535,-3.88212639489022
2.536,-3.82854776009454
2.537,-3.77618981695828
2.538,-3.72501760146093
2.539,-3.67499735436744
2.54,-3.62609647169729
2.541,-3.57828345765917
2.542,-3.53152787990016
2.543,-3.48580032693009
2.544,-3.44107236759209
2.545,-3.397316512459
2.546,-3.35450617704461
2.547,-3.31261564672591
2.548,-3.27162004327999
2.549,-3.23149529294589
2.55,-3.19221809592726
2.551,-3.15376589725804
2.552,-3.11611685895796
2.553,-3.07924983340922
2.554,-3.04314433789102
2.555,-3.00778053021135
2.556,-2.97313918538031
2.557,-2.93920167327207
2.558,-2.90594993722598
2.559,-2.87336647354036
2.56,-2.84143431181488
2.561,-2.81013699610083
2.562,-2.77945856682006
2.563,-2.74938354341603
2.564,-2.71989690770262
2.565,-2.69098408787793
2.566,-2.66263094317222
2.567,-2.63482374910117
2.568,-2.60754918329646
2.569,-2.5807943118881
2.57,-2.55454657641337
2.571,-2.5287937812292
2.572,-2.50352408140593
2.573,-2.47872597108096
2.574,-2.4543882722529
2.575,-2.43050012399671
2.576,-2.40705097208213
2.577,-2.38403055897818
2.578,-2.36142891422737
2.579,-2.33923634517424
2.58,-2.31744342803333
2.581,-2.29604099928258
2.582,-2.27502014736888
2.583,-2.25437220471275
2.584,-2.23408874000028
2.585,-2.21416155075052
2.586,-2.19458265614726
2.587,-2.17534429012475
2.588,-2.15643889469716
2.589,-2.13785911352217
2.59,-2.11959778568952
2.591,-2.10164793972562
2.592,-2.08400278780589
2.593,-2.06665572016682
2.594,-2.04960029970986
2.595,-2.03283025679009
2.596,-2.01633948418222
2.597,-2.00012203221757
2.598,-1.9841721040853
2.599,-1.96848405129176
2.6,-1.95305236927213
2.601,-1.93787169314853
2.602,-1.92293679362922
2.603,-1.90824257304368
2.604,-1.89378406150854
2.605,-1.87955641321952
2.606,-1.86555490286484
2.607,-1.85177492215567
2.608,-1.83821197646928
2.609,-1.82486168160095
2.61,-1.81171976062069
2.611,-1.79878204083085
2.612,-1.78604445082139
2.613,-1.77350301761887
2.614,-1.76115386392619
2.615,-1.74899320544982
2.616,-1.7370173483112
2.617,-1.72522268653974
2.618,-1.71360569964422
2.619,-1.70216295026012
2.62,-1.69089108187009
2.621,-1.67978681659511
2.622,-1.66884695305386
2.623,-1.65806836428802
2.624,-1.64744799575116
2.625,-1.63698286335923
